																																				
#Gene_Name	Gene_Length	%GC_ref	102-11C_S3_L001_length	126-11c_S9_L001_length	1ES86798_S2_L001_length	1EV02973_S11_L001_length	1EV02981_S8_L001_length	2KK58589_S7_L001_length	2KR049010_S2_L001_length	512022_S1_L001_length	BL37577_S10_L001_length	BL37590_S4_L001_length	C00413_S5_L001_length	C00434_S6_L001_length	CC50362-2_S1_L001_length	CC50362-3_S4_L001_length	IMIN44_S12_L001_length	Undetermined_S0_L001_length	ZL10_S3_L001_length	102-11C_S3_L001_identity	126-11c_S9_L001_identity	1ES86798_S2_L001_identity	1EV02973_S11_L001_identity	1EV02981_S8_L001_identity	2KK58589_S7_L001_identity	2KR049010_S2_L001_identity	512022_S1_L001_identity	BL37577_S10_L001_identity	BL37590_S4_L001_identity	C00413_S5_L001_identity	C00434_S6_L001_identity	CC50362-2_S1_L001_identity	CC50362-3_S4_L001_identity	IMIN44_S12_L001_identity	Undetermined_S0_L001_identity	ZL10_S3_L001_identity
HtGene0450	3144	31.0	3144	3144	420	0	916	209	3098	368	342	1249	1371	3144	1127	1443	39	2735	0	49.8	49.9	79.5	89.8	69.0	91.4	52.2	79.2	77.6	70.9	56.6	50.0	69.4	64.9	89.7	51.7	0
HtGene0451	2967	30.2	2967	2967	519	0	423	229	2408	142	225	1107	1127	2967	1352	1417	0	2634	0	50.2	50.3	62.5	0	61.3	80.7	55.5	80.2	82.5	58.4	57.4	49.8	58.0	52.2	0	51.3	0
HtGene0454	2550	31.1	2550	2550	1169	70	1005	363	1864	1127	814	1260	1006	2550	1310	1309	84	1629	0	100.0	100.0	95.1	100.0	99.1	97.2	95.2	86.8	96.8	94.5	98.6	98.8	90.8	91.4	100.0	99.9	100.0
HtGene0457	4065	29.7	4065	4065	0	0	240	0	2874	395	0	763	1043	4065	1402	1409	0	3510	0	49.6	49.6	75.8	74.8	68.6	68.5	54.4	74.2	84.5	59.9	65.0	49.5	61.7	61.7	0	50.1	0
HtGene0470	4806	24.6	4775	4529	227	0	324	0	2204	0	191	405	1229	4647	424	527	0	2995	0	51.8	52.2	91.9	0	93.2	0	67.5	97.8	91.6	90.1	76.9	51.7	88.1	89.6	96.2	56.3	0
HtGene0471	2391	31.7	2391	2295	115	0	0	0	1963	812	0	202	871	2294	587	769	0	2198	0	48.0	48.0	82.2	0	87.2	0	50.5	66.6	0	88.6	61.5	49.0	61.5	60.6	87.2	48.6	0
HtGene0472	2145	25.8	2145	2145	0	0	0	0	2135	0	0	0	422	2145	0	254	0	1750	0	100.0	100.0	0	0	100.0	0	94.1	88.7	0	100.0	98.9	99.3	100.0	99.3	0	100.0	0
HtGene0476	3459	27.0	3372	3307	314	228	477	155	2932	1787	235	785	868	3319	692	763	0	2768	0	100.0	100.0	96.2	98.7	99.2	100.0	94.5	88.1	98.5	96.4	99.1	99.3	95.1	96.8	0	99.3	0
HtGene0481	705	28.8	705	696	0	0	208	0	696	146	177	261	293	696	277	266	0	642	0	49.9	49.9	82.3	0	70.4	0	50.7	78.0	77.1	66.6	70.5	50.4	57.0	49.6	0	51.0	0
HtGene0498	1359	35.8	1359	1359	170	0	524	0	1359	907	0	799	294	1359	742	719	0	1107	0	99.9	100.0	100.0	0	98.2	100.0	94.5	85.8	100.0	94.2	99.3	99.2	96.0	97.6	0	98.0	0
HtGene0509	831	34.8	831	831	122	0	0	0	813	578	0	111	403	831	210	160	0	719	0	49.2	49.3	67.0	0	81.6	74.9	48.5	53.8	0	82.7	63.3	49.3	70.7	64.2	0	46.0	0
HtGene0510	933	31.6	933	918	318	0	201	0	842	247	0	210	218	933	430	438	0	677	0	100.0	100.0	98.6	0	99.7	0	94.2	82.6	0	98.6	99.4	99.7	90.4	89.3	0	99.5	0
HtGene0521	1386	33.3	1386	1373	961	0	892	170	1386	1025	306	1224	135	1386	1362	1333	0	1222	0	51.1	51.1	55.1	0	54.8	75.7	50.3	52.6	76.7	50.6	78.6	50.6	50.7	51.1	0	51.2	0
HtGene0526	678	35.7	678	678	344	188	494	216	678	677	0	675	248	678	633	631	0	603	0	100.0	100.0	97.0	100.0	95.5	100.0	96.6	90.7	100.0	91.9	99.7	99.7	92.1	94.1	0	99.0	0
HtGene0529	708	26.3	708	708	0	0	0	210	564	174	0	275	0	708	259	306	0	675	0	51.4	51.4	78.7	0	75.5	74.3	49.8	72.8	70.9	70.3	0	51.0	67.0	58.6	0	52.5	0
HtGene0532	3048	30.2	3048	3048	946	0	952	0	2827	349	245	1550	1415	3048	1627	1902	0	2694	0	48.7	48.7	64.7	37.0	67.6	84.0	47.1	79.7	77.1	61.4	64.0	48.4	61.0	59.8	0	48.8	0
HtGene0533	1032	28.9	1032	1032	190	0	327	0	1032	330	284	373	336	1032	555	803	0	954	0	49.6	50.2	74.7	0	75.5	89.8	49.2	68.2	75.1	66.3	69.6	49.8	64.9	55.0	0	50.2	0
HtGene0534	2019	38.4	2019	2019	1774	314	1680	607	2019	1993	830	1888	498	2019	2013	1951	310	1770	0	99.9	100.0	96.2	99.0	98.8	99.6	94.6	88.6	99.4	94.6	99.8	99.7	90.8	93.1	88.1	99.0	0
HtGene0539	5859	32.1	5831	5724	517	0	718	0	1402	706	193	766	1629	5766	758	747	0	4696	0	99.8	99.9	98.0	0	97.8	100.0	94.6	90.1	100.0	93.4	98.6	98.4	94.6	96.9	0	99.7	100.0
HtGene0544	1338	30.8	1338	1338	0	0	0	0	927	125	0	0	186	1338	0	0	0	1239	0	50.8	50.8	86.7	87.8	0	0	59.3	47.2	87.7	0	65.6	50.4	0	74.0	0	51.9	86.4
HtGene0546	966	32.6	966	966	0	0	0	0	837	112	0	0	615	966	0	0	0	807	0	100.0	100.0	0	0	0	0	93.9	82.5	0	0	98.7	99.0	0	100.0	0	99.9	100.0
HtGene0549	2010	28.8	2010	1932	0	0	182	0	1830	0	0	0	390	2010	175	190	0	1680	0	100.0	100.0	0	0	100.0	0	94.8	86.4	0	100.0	99.6	98.9	99.8	96.7	0	99.8	0
HtGene0553	1938	26.4	1938	1848	0	0	0	0	1891	173	0	34	517	1938	290	430	0	1389	0	100.0	100.0	0	0	0	0	93.9	88.8	0	100.0	99.4	99.7	99.1	99.7	0	99.5	0
HtGene0562	11103	30.7	11088	11049	0	0	0	0	2007	68	182	0	1548	10811	461	235	85	7836	0	100.0	99.9	99.0	0	100.0	0	97.3	94.2	100.0	99.5	98.7	98.1	97.6	99.6	97.8	99.6	0
HtGene0570	1173	34.1	1173	1173	438	0	340	138	1173	0	0	400	549	1173	947	969	0	1048	0	48.8	48.8	65.0	0	74.5	81.6	50.1	0	86.9	64.6	62.1	48.8	52.2	56.9	0	49.0	0
HtGene0573	912	27.4	912	912	570	0	221	252	911	577	167	628	239	912	727	736	0	808	0	100.0	100.0	94.8	0	97.6	98.3	94.0	88.7	100.0	96.9	99.4	99.6	92.8	93.0	0	98.8	0
HtGene0575	402	38.6	402	402	402	0	402	326	402	402	210	402	326	402	402	402	0	362	0	51.7	51.7	47.0	67.6	46.0	52.6	46.0	45.0	66.2	44.5	49.4	49.8	45.5	44.5	0	45.6	0
HtGene0584	4032	34.4	4032	4014	0	0	261	0	3797	1055	0	424	2090	4014	544	577	0	3641	0	49.5	49.5	88.3	0	91.2	0	50.3	71.6	0	84.0	56.2	48.8	76.2	74.8	68.0	49.5	0
HtGene0599	2025	29.1	2025	2022	0	0	0	0	1594	118	0	298	151	2025	482	509	0	1506	0	48.1	48.2	86.1	0	0	0	53.8	80.0	0	81.0	77.4	48.4	72.2	70.2	84.7	49.2	0
HtGene0612	2964	27.8	2964	2964	0	0	0	0	2559	32	0	0	1553	2964	123	209	0	2468	0	51.9	51.9	0	0	0	91.3	55.9	90.7	88.3	88.6	55.7	51.7	83.3	76.9	0	52.8	0
HtGene0634	4464	30.8	4410	4210	597	0	531	219	2078	719	404	997	705	4334	1235	1336	217	3130	83	100.0	100.0	97.1	100.0	97.5	100.0	95.9	90.2	100.0	94.3	98.9	98.6	93.4	96.2	87.0	99.2	99.5
HtGene0644	960	35.7	960	960	424	235	301	0	807	615	0	405	645	960	613	618	175	886	0	46.5	46.5	64.8	77.1	53.9	0	47.2	50.4	72.8	53.5	48.0	47.2	48.7	48.0	73.7	49.4	76.0
HtGene0646	588	32.3	588	588	0	0	0	0	587	0	0	0	0	588	0	0	0	558	0	48.3	48.3	0	0	0	0	48.5	0	0	55.9	0	48.5	0	0	0	50.0	0
HtGene0648	516	33.1	516	516	0	0	0	0	516	53	0	0	177	516	0	0	0	460	0	100.0	100.0	0	0	0	0	94.4	83.0	0	99.2	99.2	99.2	97.7	100.0	0	99.3	0
HtGene0653	1965	34.5	1963	1965	0	0	0	0	634	87	0	0	612	1965	0	0	0	1786	0	47.7	47.7	0	90.7	0	0	73.5	95.5	0	78.7	65.1	49.4	72.9	74.0	0	47.9	0
HtGene0656	789	27.2	789	789	0	0	0	0	789	172	0	345	183	789	418	535	0	713	0	54.5	54.5	75.3	0	76.1	79.6	52.9	68.8	78.3	68.7	71.4	54.5	65.1	63.9	0	55.1	0
HtGene0657	735	33.3	735	735	0	0	0	0	735	123	0	287	248	735	274	471	0	698	0	100.0	100.0	0	0	100.0	0	95.4	88.6	0	98.5	98.8	99.3	99.4	99.4	0	100.0	0
HtGene0659	1446	31.5	1446	1446	130	0	183	0	660	238	0	313	390	1446	441	434	0	1234	0	100.0	100.0	100.0	0	97.6	100.0	97.1	90.1	0	98.6	99.0	99.4	97.8	96.5	0	100.0	0
HtGene0660	1338	38.6	1338	1338	1236	571	1296	1036	1338	1304	412	1338	424	1338	1338	1338	323	1172	0	100.0	100.0	94.6	97.4	95.3	96.0	96.2	88.3	99.0	92.2	99.7	99.6	92.2	91.3	87.9	99.2	0
HtGene0662	8997	28.3	8992	8950	109	0	0	0	7383	396	0	0	1939	8997	427	598	0	6659	0	100.0	100.0	98.6	0	100.0	0	96.1	93.5	0	99.6	98.7	98.7	96.2	97.5	100.0	99.7	0
HtGene0701	4134	35.5	4134	4134	1661	172	1459	410	3764	2865	624	1964	1058	4134	2687	2789	346	3497	0	50.7	50.7	70.3	84.7	71.3	77.7	51.8	56.2	77.3	64.5	70.7	50.7	60.0	56.1	87.3	51.4	90.5
HtGene0708	2457	28.4	2457	2267	0	0	0	0	153	75	0	0	0	2378	96	0	49	1399	0	34.9	34.8	0	0	0	56.1	56.3	64.2	0	0	60.3	34.8	60.3	70.5	66.3	37.8	0
HtGene0710	2571	36.8	2571	2571	992	0	1172	394	2539	1923	273	1584	1147	2571	2050	1998	0	2213	0	51.7	51.7	60.3	0	63.2	77.9	50.3	54.5	81.1	62.0	63.0	51.1	54.1	54.0	0	51.4	0
HtGene0716	1698	29.0	1698	1698	0	0	0	0	1044	0	0	0	695	1698	0	0	0	1409	0	52.3	52.3	0	0	0	0	62.7	0	0	0	59.1	51.5	75.9	0	78.5	52.8	0
HtGene0719	1521	29.0	1510	1510	390	0	322	0	1510	932	238	392	711	1510	638	684	0	1365	0	51.1	51.1	80.7	85.4	80.1	87.1	50.1	58.4	76.8	72.5	66.1	51.5	63.1	67.7	86.5	51.4	0
HtGene0721	5886	27.6	5864	5812	0	0	0	0	425	33	0	0	2446	5643	0	225	47	4888	0	45.4	45.6	0	0	0	88.6	68.1	81.6	0	0	56.7	46.8	81.0	72.0	80.4	47.0	0
HtGene0723	390	34.1	390	390	0	0	0	120	348	0	0	0	195	390	153	153	0	340	0	51.3	51.3	58.3	0	0	54.5	50.0	0	0	0	48.7	51.5	57.5	58.3	0	53.8	0
HtGene0727	3483	34.4	3483	3483	264	0	348	0	3387	397	0	556	2304	3483	1093	1098	0	2892	0	51.2	51.1	79.4	0	84.2	90.8	50.9	78.8	84.3	74.3	61.1	50.9	72.5	69.5	0	51.1	0
HtGene0730	1494	26.0	1434	1387	316	0	0	0	1349	0	0	144	0	1434	492	646	0	1133	0	47.0	47.4	71.9	0	0	0	48.0	78.4	80.6	75.2	31.2	45.7	58.3	54.9	0	45.7	0
HtGene0733	1008	25.9	1008	1008	0	0	0	0	854	0	0	0	501	1008	0	0	0	581	0	45.4	45.4	0	0	0	0	47.9	0	0	0	46.6	45.6	0	0	0	46.6	0
HtGene0734	3033	30.6	3033	3033	0	0	0	0	2614	346	256	467	1434	3033	497	623	0	2624	0	49.5	49.5	91.7	89.6	91.2	0	49.2	82.4	90.3	83.1	53.5	49.1	75.0	77.3	0	50.3	0
HtGene0737	1122	22.2	1122	1098	0	0	0	0	704	0	0	0	0	1100	0	0	0	839	0	51.2	51.2	0	0	0	0	63.8	50.0	0	0	79.4	52.7	82.5	0	0	51.6	0
HtGene0747	4671	29.3	4671	4453	122	0	0	0	2497	286	0	0	858	4455	167	166	254	2962	0	99.9	99.9	100.0	0	0	99.2	95.6	98.5	100.0	100.0	98.5	98.2	98.8	99.9	99.2	99.7	0
HtGene0749	1050	29.7	1050	1050	635	0	920	0	1050	910	718	1022	423	1050	957	972	0	895	0	100.0	100.0	96.8	100.0	95.4	100.0	94.8	88.5	96.4	91.7	99.7	99.3	91.3	92.5	0	99.1	0
HtGene0757	543	39.0	543	543	0	0	0	0	0	24	0	0	385	542	23	75	0	455	0	49.4	50.5	0	0	0	0	59.9	67.5	0	0	50.0	50.5	52.6	49.8	62.1	50.0	0
HtGene0759	1437	36.4	1426	1437	0	0	0	0	0	0	0	0	815	1430	0	0	0	1119	0	50.4	50.1	0	0	86.9	0	0	0	0	0	60.4	48.6	0	83.8	0	50.3	0
HtGene0764	420	32.6	420	420	420	0	420	0	420	315	367	420	224	420	420	420	0	373	0	48.1	48.1	48.6	0	46.9	55.0	47.4	58.2	50.0	47.4	48.1	48.1	48.8	48.3	0	49.9	0
HtGene0765	7869	29.1	7866	7673	513	0	128	101	4468	637	0	616	1152	7790	864	874	0	5275	0	100.0	100.0	99.7	100.0	99.8	100.0	97.3	95.4	100.0	94.8	98.8	98.9	95.6	95.6	99.0	99.9	0
HtGene0768	924	26.8	924	924	0	0	0	0	759	0	0	0	98	924	0	0	0	786	0	99.9	100.0	0	0	0	0	95.0	90.7	0	0	98.0	98.4	100.0	0	0	100.0	0
HtGene0770	465	34.2	465	465	0	0	0	0	465	465	0	0	107	465	409	403	297	414	0	100.0	100.0	100.0	0	0	0	95.3	87.3	0	98.5	99.0	99.4	89.8	99.1	99.3	96.1	0
HtGene0773	1734	31.5	1734	1734	488	0	492	249	1679	380	0	573	257	1734	669	861	0	1460	0	100.0	100.0	95.8	0	97.5	100.0	95.3	87.6	100.0	91.5	99.2	99.2	95.0	93.7	0	99.9	0
HtGene0775	2070	28.3	2070	2070	0	0	0	0	1318	0	0	0	746	2070	0	210	0	1913	0	49.2	49.2	88.0	0	0	0	59.7	0	0	0	67.4	48.8	0	79.3	0	48.8	90.4
HtGene0779	648	30.1	648	621	382	0	286	382	578	138	235	382	97	621	382	382	0	496	0	53.7	53.7	56.0	0	59.2	57.3	54.2	62.7	59.5	54.5	68.8	53.9	48.2	53.1	0	51.8	0
HtGene0791	5274	30.7	5156	5074	0	0	0	0	1081	655	0	0	3079	5078	0	0	0	4731	0	49.2	49.6	82.2	0	90.5	0	51.7	62.2	86.4	0	54.9	48.8	66.9	72.1	0	49.3	78.3
HtGene0793	3507	31.9	3507	3507	0	0	0	0	3160	0	0	252	757	3507	154	0	0	2946	0	100.0	100.0	0	0	100.0	0	95.4	93.8	0	100.0	99.1	99.1	100.0	100.0	0	99.2	0
HtGene0794	1182	33.8	1182	1182	162	0	250	153	677	278	0	276	287	1182	430	424	0	1042	0	43.7	43.7	51.7	0	52.5	52.2	50.2	51.8	0	51.8	47.3	43.8	44.6	43.9	73.1	42.9	0
HtGene0798	2076	30.3	2076	2052	122	0	271	237	1607	181	0	810	837	2053	776	915	0	1859	0	48.8	49.1	87.9	0	82.1	88.6	54.8	84.1	84.8	69.2	56.9	49.9	62.7	65.1	0	50.4	0
HtGene0800	1782	38.3	1782	1782	0	0	0	0	1515	22	0	0	403	1782	73	85	37	1585	0	50.7	50.7	46.6	81.4	0	0	53.1	60.0	0	72.2	72.6	51.2	73.7	68.9	91.9	49.8	0
HtGene0806	2799	27.7	2796	2799	550	0	513	191	2331	1060	0	782	200	2799	1133	1264	92	2121	0	100.0	100.0	97.2	100.0	97.9	96.4	94.1	87.7	0	97.0	99.6	98.9	94.1	94.2	100.0	98.9	0
HtGene0810	5181	28.0	5181	5181	388	0	846	0	4315	386	0	1164	1771	5181	1667	1723	0	4471	0	50.1	50.1	83.6	0	80.9	0	54.2	87.6	88.9	80.6	67.6	51.0	75.1	70.9	0	51.5	89.4
HtGene0812	2007	28.2	2002	2001	0	0	0	0	1523	23	0	0	18	2007	0	0	25	1148	0	100.0	100.0	0	0	0	0	95.4	100.0	0	100.0	99.0	98.5	99.6	100.0	100.0	99.4	0
HtGene0834	1848	30.7	1848	1848	0	0	0	0	326	106	0	0	526	1844	62	64	0	1151	0	51.2	51.2	54.8	0	0	0	61.9	57.5	0	0	53.7	49.5	56.9	52.0	0	51.6	0
HtGene0835	1035	30.1	1035	1033	0	194	592	0	953	688	434	692	271	1035	654	644	0	687	0	100.0	100.0	100.0	100.0	98.2	100.0	94.3	87.0	100.0	98.6	99.1	99.0	95.8	95.9	0	99.8	98.6
HtGene0846	1290	28.6	1290	1290	0	0	0	0	1240	247	0	0	506	1290	404	454	0	1130	0	100.0	100.0	100.0	0	0	0	94.9	84.6	0	0	99.4	99.1	95.4	97.1	0	99.0	0
HtGene0847	1992	35.6	1992	1992	1129	0	1253	160	1992	1134	361	1445	612	1992	1830	1880	0	1766	0	48.3	48.3	58.3	90.4	54.8	84.3	49.0	61.8	67.2	50.3	64.3	48.5	49.1	47.8	0	49.0	80.3
HtGene0852	2025	34.1	2024	2025	173	181	188	187	573	175	179	179	604	1991	188	188	174	1822	182	46.9	46.9	4.9	4.3	4.3	4.8	60.3	2.8	4.3	4.3	59.5	47.3	4.3	37.4	2.3	46.9	50.5
HtGene0854	3585	30.8	3585	3585	0	0	0	0	0	0	0	0	2173	3585	0	0	0	3202	0	53.3	53.3	88.3	0	94.9	0	38.8	92.4	0	0	59.9	53.4	0	78.7	0	53.3	92.4
HtGene0856	6147	28.6	6145	6131	0	0	0	0	925	0	0	0	2170	6135	0	0	0	5007	0	50.9	50.8	72.2	65.9	85.4	0	72.8	84.0	0	0	63.3	51.2	68.9	78.2	100.0	51.1	80.0
HtGene0861	2577	27.7	2577	2577	0	0	0	0	2263	0	0	0	750	2577	0	76	0	2435	0	50.0	50.0	0	0	0	0	53.2	84.9	0	0	63.4	50.1	86.2	76.8	0	50.2	0
HtGene0862	1230	29.8	1230	1230	479	0	562	189	948	332	194	709	188	1230	690	690	0	772	0	99.9	100.0	96.2	0	94.8	100.0	95.2	90.7	100.0	95.6	98.3	98.2	93.6	89.0	0	99.9	0
HtGene0863	2826	32.4	2826	2826	584	217	814	336	1965	641	376	986	886	2826	1098	1116	0	2187	0	99.9	99.9	97.9	99.7	96.2	97.1	95.6	88.6	99.7	93.3	99.2	98.5	94.3	94.5	98.3	98.2	0
HtGene0866	2748	29.7	2748	2707	0	0	0	0	2100	90	0	0	406	2748	0	0	41	2135	0	100.0	100.0	0	0	0	0	95.5	94.9	0	98.8	99.1	99.0	100.0	100.0	98.2	99.5	0
HtGene0872	1944	33.6	1944	1944	1069	0	492	264	1944	1214	0	1196	355	1944	1469	1573	0	1706	0	100.0	100.0	97.5	0	98.9	100.0	94.5	85.5	100.0	95.3	98.4	99.0	93.6	93.4	0	98.9	0
HtGene0876	1317	33.5	1317	1317	1016	0	1116	445	1316	1142	469	1195	252	1317	1196	1195	310	1191	0	100.0	100.0	97.5	0	94.0	99.4	95.1	89.9	99.2	92.6	99.5	99.2	92.9	92.7	89.2	98.2	0
HtGene0887	1068	30.0	1068	1068	567	180	845	48	1068	751	420	953	211	1068	795	939	0	941	0	100.0	100.0	96.2	100.0	96.2	100.0	94.4	88.6	97.9	92.7	99.5	99.4	93.8	91.9	0	99.1	0
HtGene0899	1557	31.8	1557	1557	430	0	217	0	1264	530	0	320	872	1557	814	825	0	1462	0	52.4	52.4	73.4	0	79.0	92.6	55.5	70.7	80.2	67.4	63.0	52.1	69.9	62.7	0	53.0	0
HtGene0904	1467	35.7	1467	1467	0	0	0	0	1211	166	0	0	660	1467	258	252	0	1222	0	47.7	47.8	85.9	81.3	0	0	56.4	79.2	0	83.7	63.3	48.9	75.7	79.0	0	51.9	0
HtGene0906	3201	34.6	3200	3201	381	0	257	101	2197	342	102	375	1668	3201	599	579	195	2841	0	45.9	45.9	82.5	89.6	89.6	90.6	53.7	79.5	83.6	81.2	55.1	45.7	66.9	68.2	83.7	47.6	87.4
HtGene0907	1959	32.3	1959	1954	337	0	380	181	668	0	175	406	697	1959	390	399	44	713	0	100.0	100.0	94.1	0	96.6	93.9	98.2	97.7	100.0	92.0	98.7	98.8	91.8	94.3	96.9	98.1	0
HtGene0925	1068	31.4	1068	1068	0	0	0	0	813	0	0	0	578	1068	0	0	0	771	0	100.0	100.0	0	100.0	0	0	94.3	0	0	0	99.0	99.2	0	0	0	99.4	0
HtGene0939	399	33.8	399	399	0	0	0	0	345	0	0	0	343	399	0	0	0	369	0	46.6	46.6	0	0	0	0	47.4	0	0	0	50.7	47.1	55.8	60.9	0	46.3	0
HtGene0941	4221	31.7	4221	4221	0	0	0	0	3526	237	0	0	1493	4221	0	0	0	3887	0	100.0	100.0	0	99.1	100.0	0	94.7	83.4	0	0	98.9	98.9	99.9	99.3	0	99.9	97.5
HtGene0942	1542	31.0	1542	1542	224	0	144	0	1528	311	0	739	644	1542	625	855	0	1394	0	52.1	52.1	85.3	0	63.0	0	51.9	53.2	0	60.0	65.6	52.1	59.0	58.3	0	52.3	0
HtGene0947	1377	21.9	1376	1293	0	0	0	0	302	0	0	0	0	1314	0	149	0	401	0	51.6	51.6	0	0	85.4	0	75.3	0	0	87.9	72.4	51.6	73.7	82.2	0	56.8	0
HtGene0948	1530	29.3	1530	1530	0	0	0	0	926	0	0	0	251	1530	0	0	0	1214	0	50.1	50.1	0	0	0	82.9	58.0	0	0	0	81.5	49.9	82.4	0	0	50.4	0
HtGene0953	1089	35.0	1089	1070	462	0	500	301	726	640	156	647	207	1070	651	646	38	718	0	100.0	100.0	96.7	0	95.2	100.0	95.4	87.0	100.0	96.8	98.2	99.0	92.4	93.8	100.0	99.8	0
HtGene0958	2256	28.6	2256	2256	93	0	0	0	1398	0	0	0	836	2256	177	166	0	1835	0	100.0	100.0	100.0	99.3	0	0	94.9	100.0	99.3	0	99.1	99.1	93.4	96.4	0	99.6	0
HtGene0961	2589	32.8	2589	2589	638	0	562	0	2530	673	324	922	525	2589	1533	1588	0	2264	0	99.9	100.0	97.7	0	97.6	100.0	94.4	88.8	99.7	98.3	99.4	99.1	93.2	92.9	0	99.8	0
HtGene0974	525	32.0	525	525	296	0	301	253	525	350	0	357	0	525	391	428	0	421	0	52.6	52.6	63.9	0	56.8	71.5	50.9	65.1	0	56.1	70.8	51.2	54.2	54.7	0	53.0	0
HtGene0979	1716	32.2	1627	1627	911	227	1109	181	1575	1246	919	1172	811	1627	1196	1217	0	1451	0	100.0	100.0	97.7	98.5	95.8	100.0	95.2	88.8	96.5	95.0	99.2	99.2	92.8	92.2	0	99.2	0
HtGene0980	495	41.4	495	495	77	0	252	0	469	343	199	343	0	495	321	343	0	419	0	99.8	100.0	99.3	0	91.9	0	94.7	91.1	100.0	95.9	100.0	99.4	97.0	93.9	0	99.3	0
HtGene0989	606	32.3	606	606	210	0	353	0	606	0	192	399	148	606	354	359	0	538	0	50.5	50.5	66.5	0	61.8	0	48.5	0	77.6	61.9	66.0	50.0	66.5	55.5	0	48.9	0
HtGene0998	1743	28.2	1743	1743	0	0	141	0	1426	21	0	306	299	1743	0	0	0	1294	0	49.9	49.9	0	0	91.5	0	52.1	88.9	0	82.3	82.4	50.4	86.2	86.6	0	50.4	0
HtGene1007	303	33.0	303	303	0	0	224	0	233	0	0	206	232	303	0	0	0	280	0	42.2	42.2	0	20.0	43.3	0	44.1	28.6	0	45.7	42.9	43.2	0	0	0	43.3	0
HtGene1012	456	34.2	456	456	438	146	452	0	456	456	300	456	177	456	456	456	0	413	0	100.0	100.0	95.6	100.0	98.2	0	96.7	89.7	100.0	94.3	98.9	99.3	90.6	92.5	0	99.0	0
HtGene1018	9033	28.4	8966	8931	139	0	0	0	4789	509	0	572	3115	8931	788	894	0	8103	0	48.8	48.8	86.0	82.1	78.0	85.7	54.3	79.1	0	70.2	58.8	49.0	71.8	65.6	100.0	49.3	0
HtGene1022	4521	32.3	4521	4510	516	186	460	189	3632	1187	371	579	954	4518	673	631	222	3669	0	100.0	100.0	96.0	100.0	98.7	100.0	95.2	90.9	99.2	93.5	99.3	99.1	96.4	95.5	99.6	99.2	0
HtGene1025	531	30.9	531	531	0	0	0	0	531	331	0	301	0	501	369	395	0	480	0	100.0	100.0	100.0	0	100.0	0	95.3	86.2	0	100.0	100.0	99.8	99.8	100.0	0	99.6	0
HtGene1029	1155	32.0	1155	1155	0	0	218	141	1155	671	273	277	238	1155	438	737	0	1051	0	52.8	52.8	84.1	0	79.6	92.2	50.6	60.6	80.1	64.3	76.0	52.3	64.3	58.0	0	53.6	0
HtGene1030	2109	32.8	2109	2109	1057	0	1043	577	2109	1158	788	1219	676	2109	1220	1276	260	1907	0	49.1	49.1	64.6	0	66.3	74.5	49.9	63.2	71.0	64.6	63.1	49.2	62.8	61.2	85.8	49.7	83.3
HtGene1040	1608	37.1	1608	1608	0	0	0	0	424	0	0	0	349	1608	0	0	0	1035	0	99.9	99.9	95.5	0	0	0	97.6	0	0	0	98.4	97.1	99.7	100.0	0	99.9	0
HtGene1048	4338	30.9	4334	4331	0	0	0	0	1087	566	0	118	1097	4029	206	173	0	3140	0	50.7	50.6	0	0	0	0	70.6	71.4	0	75.3	67.7	50.9	73.1	64.9	91.2	51.8	0
HtGene1050	627	32.4	627	627	0	0	0	0	457	0	0	0	584	627	0	0	0	522	0	46.9	46.9	0	0	0	0	47.8	0	0	0	47.2	47.2	65.1	0	0	47.5	61.4
HtGene1053	345	37.4	345	345	167	0	230	0	345	113	0	236	236	345	236	236	0	327	0	48.1	48.1	50.4	0	47.9	0	47.8	63.8	0	49.6	49.7	48.4	47.9	48.7	0	48.3	0
HtGene1056	3771	31.3	3771	3771	747	0	834	181	3383	686	453	1252	1827	3771	1367	1569	0	3169	0	50.1	50.0	80.9	94.5	79.8	86.6	51.5	75.2	84.2	74.8	65.6	50.1	65.6	63.5	100.0	50.5	0
HtGene1058	597	33.5	597	597	0	0	185	0	574	0	150	310	118	597	221	228	0	520	0	48.2	48.2	0	0	73.3	0	50.0	0	68.4	63.8	68.5	48.4	71.7	55.0	0	48.5	0
HtGene1072	2286	33.6	2286	2286	0	0	0	0	2209	0	0	0	353	2286	276	378	0	1890	0	51.0	51.0	91.4	0	0	0	52.6	0	0	0	75.9	50.7	81.4	71.2	0	51.5	0
HtGene1073	2220	35.0	2220	2220	0	0	0	0	538	0	0	0	1348	2220	0	268	0	2038	0	50.3	50.3	0	0	0	88.3	75.2	0	0	0	56.8	50.3	87.2	72.9	0	50.3	0
HtGene1074	2496	32.1	2496	2496	687	0	392	0	2337	719	124	540	619	2496	1248	1189	0	2143	0	100.0	100.0	98.4	0	99.7	100.0	95.7	88.3	100.0	98.4	99.1	99.3	95.8	96.0	99.4	99.2	0
HtGene1077	3021	32.3	3021	3021	1211	0	917	0	2538	720	0	1329	1395	3021	1842	1852	0	2555	0	46.2	46.2	60.8	0	58.9	81.8	46.1	70.4	79.3	51.7	59.2	46.3	54.4	54.7	0	48.2	0
