																																																		
#Gene_Name	Gene_Length	%GC_ref	102-11C_S3_L001_length	126-11c_S9_L001_length	1ES86798_S2_L001_length	1EV02973_S11_L001_length	1EV02981_S8_L001_length	2KK58589_S7_L001_length	2KR049010_S2_L001_length	512022_S1_L001_length	BL37577_S10_L001_length	BL37590_S4_L001_length	C00413_S5_L001_length	C00434_S6_L001_length	CC50362-2_S1_L001_length	CC50362-3_S4_L001_length	IMIN44_S12_L001_length	ZL10_S3_L001_length	102-11C_S3_L001_identity	126-11c_S9_L001_identity	1ES86798_S2_L001_identity	1EV02973_S11_L001_identity	1EV02981_S8_L001_identity	2KK58589_S7_L001_identity	2KR049010_S2_L001_identity	512022_S1_L001_identity	BL37577_S10_L001_identity	BL37590_S4_L001_identity	C00413_S5_L001_identity	C00434_S6_L001_identity	CC50362-2_S1_L001_identity	CC50362-3_S4_L001_identity	IMIN44_S12_L001_identity	ZL10_S3_L001_identity	102-11C_S3_L001_coverage	126-11c_S9_L001_coverage	1ES86798_S2_L001_coverage	1EV02973_S11_L001_coverage	1EV02981_S8_L001_coverage	2KK58589_S7_L001_coverage	2KR049010_S2_L001_coverage	512022_S1_L001_coverage	BL37577_S10_L001_coverage	BL37590_S4_L001_coverage	C00413_S5_L001_coverage	C00434_S6_L001_coverage	CC50362-2_S1_L001_coverage	CC50362-3_S4_L001_coverage	IMIN44_S12_L001_coverage	ZL10_S3_L001_coverage
HtGene0939	399	33.8	399	399	197	0	0	54	399	0	0	170	340	399	391	382	0	0	100.0	100.0	80.4	0	0	92.6	93.5	0	0.0	91.2	93.4	99.0	87.5	85.7	0	0	100.0	100.0	49.4	0.0	0.0	13.5	100.0	0.0	0.0	42.6	85.2	100.0	98.0	95.7	0.0	0.0
HtGene0941	4221	31.7	4221	4221	0	0	0	0	4143	148	0	269	1492	4221	323	415	0	0	100.0	100.0	0	0.0	0.0	0	88.2	33.4	0	59.0	58.0	98.9	19.9	25.4	0	0.0	100.0	100.0	0.0	0.0	0.0	0.0	98.2	3.5	0.0	6.4	35.3	100.0	7.7	9.8	0.0	0.0
HtGene0942	1542	31.0	1542	1542	374	0	616	0	1542	311	0	931	644	1542	1485	1518	0	0	100.0	100.0	67.8	0	58.4	0.0	92.9	36.6	0	71.1	71.7	99.2	84.2	85.5	0	0	100.0	100.0	24.3	0.0	39.9	0.0	100.0	20.2	0.0	60.4	41.8	100.0	96.3	98.4	0.0	0.0
HtGene0947	1377	21.9	1376	1293	0	0	0	24	476	0	0	0	0	1291	224	369	0	0	99.9	93.8	0	0	0.0	100.0	84.9	0	0	0.0	0.0	91.4	57.2	69.3	0	0	99.9	93.9	0.0	0.0	0.0	1.7	34.6	0.0	0.0	0.0	0.0	93.8	16.3	26.8	0.0	0.0
HtGene0948	1530	29.3	1530	1530	0	0	0	0	1377	0	0	0	249	1530	0	0	0	0	99.9	99.9	0	0	0	0.0	86.0	0	0	0	53.5	99.3	0.0	0	0	0	100.0	100.0	0.0	0.0	0.0	0.0	90.0	0.0	0.0	0.0	16.3	100.0	0.0	0.0	0.0	0.0
HtGene0953	1089	35.0	1089	1070	651	63	614	478	911	643	157	651	207	1070	651	651	38	58	100.0	98.3	88.9	17.1	83.4	88.2	92.3	86.8	32.5	87.7	62.8	99.0	88.2	67.9	92.7	74.4	100.0	98.3	59.8	5.8	56.4	43.9	83.7	59.0	14.4	59.8	19.0	98.3	59.8	59.8	3.5	5.3
HtGene0958	2256	28.6	2256	2256	172	0	0	0	1831	0	0	153	836	2256	205	253	0	0	100.0	100.0	87.4	0.0	0.0	0.0	79.0	0.0	0.0	78.5	66.8	99.1	30.1	46.8	0	0	100.0	100.0	7.6	0.0	0.0	0.0	81.2	0.0	0.0	6.8	37.1	100.0	9.1	11.2	0.0	0.0
HtGene0961	2589	32.8	2589	2589	1558	0	1257	226	2589	673	741	1815	525	2589	2220	2270	0	0	99.9	100.0	63.9	0	64.9	40.3	92.7	55.2	48.3	75.2	61.0	99.1	84.7	82.4	0	0.0	100.0	100.0	60.2	0.0	48.6	8.7	100.0	26.0	28.6	70.1	20.3	100.0	85.7	87.7	0.0	0.0
HtGene0974	525	32.0	525	525	343	0	371	253	525	350	0	474	0	525	440	447	0	0	100.0	100.0	68.8	0	75.5	88.5	93.9	89.1	0.0	87.8	0.0	99.2	84.6	86.7	0	0	100.0	100.0	65.3	0.0	70.7	48.2	100.0	66.7	0.0	90.3	0.0	100.0	83.8	85.1	0.0	0.0
HtGene0979	1716	32.2	1627	1627	1206	530	1284	543	1575	1220	1268	1284	860	1627	1284	1284	0	0	100.0	100.0	83.9	52.3	86.3	50.6	91.9	83.8	89.5	89.3	66.7	99.2	76.8	85.1	0	0.0	94.8	94.8	70.3	30.9	74.8	31.6	91.8	71.1	73.9	74.8	50.1	94.8	74.8	74.8	0.0	0.0
HtGene0980	495	41.4	495	495	465	0	343	323	495	343	329	446	0	495	465	465	0	0	99.8	100.0	89.7	0	90.4	87.2	92.9	88.0	65.1	89.7	0.0	99.4	89.9	89.9	0	0.0	100.0	100.0	93.9	0.0	69.3	65.3	100.0	69.3	66.5	90.1	0.0	100.0	93.9	93.9	0.0	0.0
HtGene0989	606	32.3	606	606	210	0	510	0	606	0	313	593	148	606	565	455	0	0	100.0	100.0	54.0	0	84.2	0	93.7	0	87.5	85.5	42.4	98.8	81.0	69.8	0	0	100.0	100.0	34.7	0.0	84.2	0.0	100.0	0.0	51.7	97.9	24.4	100.0	93.2	75.1	0.0	0.0
HtGene0998	1743	28.2	1743	1743	0	0	139	0	1425	21	0	308	299	1743	0	97	0	0	100.0	100.0	0	0	89.2	0	91.9	77.8	0	70.4	98.7	99.0	0.0	26.7	0	0	100.0	100.0	0.0	0.0	8.0	0.0	81.8	1.2	0.0	17.7	17.2	100.0	0.0	5.6	0.0	0.0
HtGene1007	303	33.0	303	303	0	0	230	0	234	0	0	233	232	303	0	0	0	0	100.0	100.0	0	0.0	88.4	0.0	73.9	0	0	85.0	98.7	97.7	0.0	0.0	0	0.0	100.0	100.0	0.0	0.0	75.9	0.0	77.2	0.0	0.0	76.9	76.6	100.0	0.0	0.0	0.0	0.0
HtGene1012	456	34.2	456	456	456	143	443	77	456	448	443	446	177	456	456	456	0	0	100.0	100.0	90.4	93.0	88.8	39.8	96.7	87.9	90.6	89.3	98.9	99.3	90.4	90.4	0	0.0	100.0	100.0	100.0	31.4	97.1	16.9	100.0	98.2	97.1	97.8	38.8	100.0	100.0	100.0	0.0	0.0
HtGene1018	9033	28.4	8967	8931	139	0	205	83	5915	509	0	1184	3107	8931	1720	2485	0	0	99.8	99.8	29.0	0.0	19.8	18.8	78.8	50.1	0.0	48.6	54.1	98.4	34.7	51.0	0.0	0.0	99.3	98.9	1.5	0.0	2.3	0.9	65.5	5.6	0.0	13.1	34.4	98.9	19.0	27.5	0.0	0.0
HtGene1022	4521	32.3	4521	4510	827	609	1056	531	4494	1162	810	1346	1184	4515	1807	1841	222	251	100.0	99.8	83.6	74.4	68.1	92.5	90.5	85.5	72.1	79.3	55.9	99.0	72.1	60.1	94.8	96.9	100.0	99.8	18.3	13.5	23.4	11.7	99.4	25.7	17.9	29.8	26.2	99.9	40.0	40.7	4.9	5.6
HtGene1025	531	30.9	531	531	235	0	90	0	531	298	0	470	48	501	495	509	0	0	100.0	100.0	52.8	0	16.4	0.0	95.1	66.4	0.0	78.7	46.2	99.8	85.0	86.0	0	0	100.0	100.0	44.3	0.0	16.9	0.0	100.0	56.1	0.0	88.5	9.0	94.4	93.2	95.9	0.0	0.0
HtGene1029	1155	32.0	1155	1155	127	0	217	135	1155	653	273	506	238	1155	894	930	0	0	100.0	100.0	35.2	0	36.2	92.6	93.0	78.7	89.7	45.3	46.9	99.1	85.3	84.2	0	0.0	100.0	100.0	11.0	0.0	18.8	11.7	100.0	56.5	23.6	43.8	20.6	100.0	77.4	80.5	0.0	0.0
HtGene1030	2109	32.8	2109	2109	1151	0	1110	567	2109	1108	775	1305	676	2109	1341	1412	261	0	100.0	100.0	84.2	0.0	81.4	66.3	92.8	79.2	79.5	70.5	48.1	99.1	73.0	82.9	77.6	0.0	100.0	100.0	54.6	0.0	52.6	26.9	100.0	52.5	36.7	61.9	32.1	100.0	63.6	67.0	12.4	0.0
HtGene1040	1608	37.1	1608	1608	0	0	202	0	848	0	0	202	336	1608	0	205	0	0	99.9	99.9	0.0	0	82.7	0	70.3	0	0	75.4	31.5	96.9	0.0	53.5	0	0	100.0	100.0	0.0	0.0	12.6	0.0	52.7	0.0	0.0	12.6	20.9	100.0	0.0	12.7	0.0	0.0
HtGene1048	4338	30.9	4338	4331	485	0	406	63	1761	411	336	710	1097	4224	657	662	0	0	99.9	99.8	70.7	0.0	64.6	26.5	83.6	60.9	87.6	56.1	55.6	94.8	42.9	58.6	0.0	0.0	100.0	99.8	11.2	0.0	9.4	1.5	40.6	9.5	7.7	16.4	25.3	97.4	15.1	15.3	0.0	0.0
HtGene1050	627	32.4	627	627	0	0	0	0	624	0	0	0	584	627	0	0	0	0	100.0	100.0	0	0	0	0	88.4	0	0	0	91.7	98.7	0.0	0	0	0.0	100.0	100.0	0.0	0.0	0.0	0.0	99.5	0.0	0.0	0.0	93.1	100.0	0.0	0.0	0.0	0.0
HtGene1053	345	37.4	345	345	161	0	226	0	345	0	0	345	236	345	236	236	0	0	100.0	100.0	64.8	0	60.0	0	96.8	0.0	0	89.6	71.2	98.8	90.7	90.7	0	0	100.0	100.0	46.7	0.0	65.5	0.0	100.0	0.0	0.0	100.0	68.4	100.0	68.4	68.4	0.0	0.0
HtGene1056	3771	31.3	3771	3771	945	100	1200	384	3624	465	640	1901	1815	3771	2494	2490	0	0	100.0	100.0	54.0	31.4	75.9	62.1	91.3	54.1	65.2	80.5	84.2	99.0	74.9	71.8	0.0	0	100.0	100.0	25.1	2.7	31.8	10.2	96.1	12.3	17.0	50.4	48.1	100.0	66.1	66.0	0.0	0.0
HtGene1058	597	33.5	597	597	0	0	387	0	575	0	267	482	118	597	378	392	0	0	100.0	100.0	0	0	87.9	0.0	93.2	0	51.6	72.9	42.4	99.7	76.3	70.3	0	0	100.0	100.0	0.0	0.0	64.8	0.0	96.3	0.0	44.7	80.7	19.8	100.0	63.3	65.7	0.0	0.0
HtGene1072	2286	33.6	2286	2286	225	0	0	0	2228	0	0	0	353	2286	445	698	0	0	100.0	100.0	61.0	0	0	0	89.0	0	0	0	46.4	98.7	42.8	55.6	0	0	100.0	100.0	9.8	0.0	0.0	0.0	97.5	0.0	0.0	0.0	15.4	100.0	19.5	30.5	0.0	0.0
HtGene1073	2220	35.0	2220	2220	94	0	0	0	1478	0	0	0	1348	2220	309	574	0	0	100.0	100.0	85.1	0	0	0.0	81.7	0	0.0	0	75.0	99.0	44.9	75.6	0	0	100.0	100.0	4.2	0.0	0.0	0.0	66.6	0.0	0.0	0.0	60.7	100.0	13.9	25.9	0.0	0.0
HtGene1074	2496	32.1	2496	2496	1213	175	1111	691	2494	586	383	1775	619	2496	2157	2168	0	0	100.0	100.0	75.7	85.7	54.6	52.2	92.9	70.2	72.0	71.3	58.6	99.3	81.8	81.5	0.0	0	100.0	100.0	48.6	7.0	44.5	27.7	99.9	23.5	15.3	71.1	24.8	100.0	86.4	86.9	0.0	0.0
HtGene1077	3021	32.3	3021	3021	1675	172	1715	274	2537	642	149	1977	1447	3021	2106	2110	0	0	100.0	100.0	79.8	23.9	75.5	49.1	90.5	65.8	17.4	81.5	80.5	98.7	84.4	80.0	0	0.0	100.0	100.0	55.4	5.7	56.8	9.1	84.0	21.3	4.9	65.4	47.9	100.0	69.7	69.8	0.0	0.0
HtGene1078	660	36.2	660	660	562	0	523	263	659	89	182	564	85	660	576	654	0	0	100.0	100.0	87.5	0	76.5	43.7	91.4	19.8	31.5	81.6	24.6	98.9	77.7	86.7	0	0.0	100.0	100.0	85.2	0.0	79.2	39.8	99.8	13.5	27.6	85.5	12.9	100.0	87.3	99.1	0.0	0.0
HtGene1080	2169	34.0	2169	2169	2129	707	2086	714	2169	1999	1606	2169	585	2169	2169	2169	130	0	100.0	100.0	88.7	84.9	88.2	49.3	95.2	82.9	75.1	91.1	53.0	99.5	90.2	90.2	100.0	0.0	100.0	100.0	98.2	32.6	96.2	32.9	100.0	92.2	74.0	100.0	27.0	100.0	100.0	100.0	6.0	0.0
HtGene1092	702	31.9	658	615	123	0	123	106	676	0	123	338	411	658	467	439	0	0	93.7	93.5	31.2	0.0	36.2	93.4	94.4	0.0	93.5	84.1	74.9	100.0	75.1	60.3	0	0.0	93.7	87.6	17.5	0.0	17.5	15.1	96.3	0.0	17.5	48.1	58.5	93.7	66.5	62.5	0.0	0.0
HtGene1093	588	35.7	588	588	359	0	389	0	588	0	0	411	184	588	497	588	0	0	100.0	100.0	85.8	0.0	82.0	0.0	94.9	0.0	0	69.2	73.3	99.8	75.7	86.6	0	0	100.0	100.0	61.1	0.0	66.2	0.0	100.0	0.0	0.0	69.9	31.3	100.0	84.5	100.0	0.0	0.0
HtGene1101	3189	27.5	3189	3189	0	0	0	0	2146	0	0	0	742	3189	0	94	0	0	99.9	99.9	0	0	0.0	0.0	78.8	0.0	0	0.0	46.0	98.8	0.0	49.7	0.0	0.0	100.0	100.0	0.0	0.0	0.0	0.0	67.3	0.0	0.0	0.0	23.3	100.0	0.0	2.9	0.0	0.0
HtGene1112	1647	26.6	1647	1631	233	55	279	46	1447	35	398	465	444	1577	604	581	10	129	99.9	99.0	34.9	94.8	61.0	73.0	90.3	10.3	56.8	74.6	79.2	93.3	74.5	49.9	9.7	35.7	100.0	99.0	14.1	3.3	16.9	2.8	87.9	2.1	24.2	28.2	27.0	95.7	36.7	35.3	0.6	7.8
HtGene1120	2559	29.3	2559	2556	759	0	886	574	2472	590	478	1184	1224	2559	1349	1432	34	0	100.0	99.9	81.4	0	79.4	60.7	89.6	51.8	70.4	72.6	62.7	99.4	79.0	78.0	100.0	0	100.0	99.9	29.7	0.0	34.6	22.4	96.6	23.1	18.7	46.3	47.8	100.0	52.7	56.0	1.3	0.0
HtGene1129	2595	35.1	2595	2595	1174	97	683	185	2594	468	456	1449	1451	2595	1910	1973	0	0	100.0	100.0	60.6	90.8	41.7	87.6	92.2	44.0	44.0	68.9	90.6	99.4	70.7	76.7	0.0	0.0	100.0	100.0	45.2	3.7	26.3	7.1	100.0	18.0	17.6	55.8	55.9	100.0	73.6	76.0	0.0	0.0
HtGene1134	1791	30.4	1791	1791	556	0	574	186	1770	0	0	1039	614	1791	1353	1395	0	0	100.0	100.0	67.0	0.0	62.3	93.0	93.0	0.0	0.0	72.8	42.9	99.2	75.8	83.6	0.0	0	100.0	100.0	31.0	0.0	32.0	10.4	98.8	0.0	0.0	58.0	34.3	100.0	75.5	77.9	0.0	0.0
HtGene1141	4764	28.8	4764	4764	1305	0	955	340	3938	1338	690	1528	884	4735	2028	2170	0	59	100.0	100.0	59.4	0.0	82.2	42.9	87.0	68.0	52.5	70.2	36.4	98.1	64.3	75.1	0.0	19.3	100.0	100.0	27.4	0.0	20.0	7.1	82.7	28.1	14.5	32.1	18.6	99.4	42.6	45.5	0.0	1.2
HtGene1145	1626	36.5	1626	1626	721	0	661	242	1626	474	749	914	662	1626	1016	993	0	0	99.9	100.0	75.7	0.0	69.0	40.1	91.9	62.1	86.9	71.0	60.3	99.3	80.4	78.8	0	0.0	100.0	100.0	44.3	0.0	40.7	14.9	100.0	29.2	46.1	56.2	40.7	100.0	62.5	61.1	0.0	0.0
HtGene1160	3072	31.9	3072	3072	1033	0	1354	699	3072	642	394	2027	1526	3072	2098	2045	540	24	100.0	100.0	47.2	0.0	71.3	53.2	92.1	63.5	49.5	78.4	65.6	99.4	65.4	66.9	67.0	100.0	100.0	100.0	33.6	0.0	44.1	22.8	100.0	20.9	12.8	66.0	49.7	100.0	68.3	66.6	17.6	0.8
HtGene1163	1884	31.0	1884	1884	800	0	772	0	1883	421	274	1351	700	1884	1540	1791	0	0	100.0	100.0	57.0	0.0	61.5	0.0	93.7	69.2	33.9	79.3	87.9	99.3	73.0	82.2	0	0	100.0	100.0	42.5	0.0	41.0	0.0	99.9	22.3	14.5	71.7	37.2	100.0	81.7	95.1	0.0	0.0
HtGene1167	1788	31.3	1788	1788	1399	13	1339	359	1658	1233	806	1570	893	1788	1599	1599	0	0	100.0	100.0	84.9	2.0	84.7	34.8	91.8	80.3	65.5	88.4	58.0	99.6	87.7	89.8	0.0	0.0	100.0	100.0	78.2	0.7	74.9	20.1	92.7	69.0	45.1	87.8	49.9	100.0	89.4	89.4	0.0	0.0
HtGene1168	426	34.5	426	426	416	0	416	249	416	416	416	416	167	426	416	416	0	0	100.0	100.0	91.6	0.0	92.1	55.3	94.4	88.5	92.1	92.1	100.0	99.8	91.6	91.6	0	0	100.0	100.0	97.7	0.0	97.7	58.5	97.7	97.7	97.7	97.7	39.2	100.0	97.7	97.7	0.0	0.0
HtGene1173	5639	36.0	5625	5529	383	0	289	136	2043	734	153	664	3183	5572	1087	1174	72	97	99.8	99.0	45.3	0.0	54.9	74.7	66.9	47.8	23.2	67.9	81.1	97.2	46.2	49.6	47.4	12.5	99.8	98.0	6.8	0.0	5.1	2.4	36.2	13.0	2.7	11.8	56.4	98.8	19.3	20.8	1.3	1.7
HtGene1175	849	33.2	849	849	662	0	480	422	849	427	385	838	148	849	849	849	0	0	100.0	100.0	82.8	0	56.4	64.5	92.6	75.1	76.7	88.4	29.8	99.5	88.2	88.0	0	0	100.0	100.0	78.0	0.0	56.5	49.7	100.0	50.3	45.3	98.7	17.4	100.0	100.0	100.0	0.0	0.0
HtGene1178	4212	26.6	4212	4164	89	0	25	0	3152	0	0	295	1099	4154	335	301	0	0	99.9	98.8	20.6	0.0	12.4	0.0	81.9	0	0	39.5	65.7	98.0	17.1	23.4	0	0.0	100.0	98.9	2.1	0.0	0.6	0.0	74.8	0.0	0.0	7.0	26.1	98.6	8.0	7.1	0.0	0.0
HtGene1179	1605	32.0	1605	1605	1247	0	1369	366	1531	971	661	1531	540	1605	1531	1531	0	0	100.0	100.0	76.4	0.0	79.8	65.7	94.2	75.7	61.0	87.8	49.1	99.0	88.1	87.2	0.0	0	100.0	100.0	77.7	0.0	85.3	22.8	95.4	60.5	41.2	95.4	33.6	100.0	95.4	95.4	0.0	0.0
HtGene1185	981	32.0	981	980	364	61	364	193	395	364	203	364	212	981	364	364	0	0	100.0	99.9	89.8	16.2	89.3	68.8	94.0	89.6	62.7	89.3	57.8	98.2	80.5	89.8	0	0	100.0	99.9	37.1	6.2	37.1	19.7	40.3	37.1	20.7	37.1	21.6	100.0	37.1	37.1	0.0	0.0
HtGene1191	7925	25.0	7924	7865	174	133	402	0	1705	410	306	776	1641	7481	514	554	0	51	100.0	99.2	40.9	41.3	52.0	0.0	67.9	55.8	71.4	67.0	48.6	96.4	33.6	34.8	0.0	24.3	100.0	99.2	2.2	1.7	5.1	0.0	21.5	5.2	3.9	9.8	20.7	94.4	6.5	7.0	0.0	0.6
HtGene1192	1416	28.0	1416	1416	0	0	0	0	1279	0	0	329	286	1416	0	213	0	0	100.0	100.0	0.0	0	0.0	0	86.7	0.0	0	70.5	44.6	98.9	0.0	45.9	0	0	100.0	100.0	0.0	0.0	0.0	0.0	90.3	0.0	0.0	23.2	20.2	100.0	0.0	15.0	0.0	0.0
HtGene1195	2796	28.1	2796	2796	203	0	0	0	2461	0	0	371	692	2796	650	540	0	34	100.0	100.0	55.2	0	0	0	88.1	0	0	49.5	56.1	98.8	74.0	61.5	0	100.0	100.0	100.0	7.3	0.0	0.0	0.0	88.0	0.0	0.0	13.3	24.7	100.0	23.2	19.3	0.0	1.2
HtGene1196	2634	31.7	2634	2634	1588	0	1351	372	2634	532	1004	1866	1200	2634	2322	2343	0	0	100.0	100.0	59.6	0.0	75.0	58.1	94.4	46.5	83.6	81.9	57.5	99.7	84.3	82.8	0	0	100.0	100.0	60.3	0.0	51.3	14.1	100.0	20.2	38.1	70.8	45.6	100.0	88.2	89.0	0.0	0.0
HtGene1205	1608	34.1	1608	1608	1149	249	1038	720	1608	1458	302	1487	526	1608	1608	1608	0	0	100.0	100.0	65.8	69.5	69.1	56.9	93.7	81.0	37.4	81.3	75.3	99.0	87.9	87.9	0	0	100.0	100.0	71.5	15.5	64.6	44.8	100.0	90.7	18.8	92.5	32.7	100.0	100.0	100.0	0.0	0.0
HtGene1206	1731	33.2	1731	1731	602	0	645	0	1674	0	84	926	399	1731	1042	1229	0	28	99.9	99.9	57.2	0.0	56.4	0.0	91.2	0.0	12.4	77.2	44.0	98.8	62.8	80.8	0.0	44.4	100.0	100.0	34.8	0.0	37.3	0.0	96.7	0.0	4.9	53.5	23.1	100.0	60.2	71.0	0.0	1.6
HtGene1210	6372	25.6	6372	6180	0	0	0	0	3737	0	0	0	1822	6232	0	200	0	0	100.0	96.9	0.0	0.0	0.0	0.0	77.1	0.0	0.0	0.0	57.9	96.6	0.0	18.8	0.0	0.0	100.0	97.0	0.0	0.0	0.0	0.0	58.6	0.0	0.0	0.0	28.6	97.8	0.0	3.1	0.0	0.0
HtGene1215	963	33.2	963	947	424	0	300	0	917	7	115	384	222	907	571	624	0	7	100.0	99.8	65.9	0.0	74.4	0.0	92.4	63.6	33.9	62.7	39.5	93.5	75.9	74.7	0	87.5	100.0	98.3	44.0	0.0	31.2	0.0	95.2	0.7	11.9	39.9	23.1	94.2	59.3	64.8	0.0	0.7
HtGene1223	288	36.5	288	288	0	0	0	0	285	0	0	0	0	288	0	0	0	0	100.0	100.0	0	0.0	0	0	92.7	0	0	0	0	98.6	0	0	0	0	100.0	100.0	0.0	0.0	0.0	0.0	99.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0
HtGene1224	3234	30.0	3234	3211	733	33	358	0	2902	556	307	1078	448	3219	1539	1591	35	55	100.0	99.3	39.1	9.6	58.9	0.0	86.2	42.2	58.2	53.5	43.2	98.4	72.3	71.0	12.7	31.2	100.0	99.3	22.7	1.0	11.1	0.0	89.7	17.2	9.5	33.3	13.9	99.5	47.6	49.2	1.1	1.7
HtGene1228	735	30.5	735	731	404	0	609	229	735	353	220	651	0	731	417	581	0	0	100.0	99.5	88.2	0.0	88.1	86.9	96.5	78.8	36.9	86.5	0.0	98.9	66.7	86.2	0	0	100.0	99.5	55.0	0.0	82.9	31.2	100.0	48.0	29.9	88.6	0.0	99.5	56.7	79.0	0.0	0.0
HtGene1229	546	29.7	546	546	480	0	419	0	545	507	227	532	0	546	528	535	0	0	99.8	100.0	82.0	0	83.2	0.0	95.8	85.0	47.2	91.2	0.0	99.5	89.1	90.0	0	0	100.0	100.0	87.9	0.0	76.7	0.0	99.8	92.9	41.6	97.4	0.0	100.0	96.7	98.0	0.0	0.0
HtGene1232	1596	36.7	1596	1596	515	403	805	272	1596	1003	433	1178	767	1596	1151	1195	0	0	100.0	100.0	59.0	53.1	74.0	56.7	92.2	77.8	52.3	81.8	68.8	99.2	76.8	71.9	0	0.0	100.0	100.0	32.3	25.3	50.4	17.0	100.0	62.8	27.1	73.8	48.1	100.0	72.1	74.9	0.0	0.0
HtGene1239	4146	29.3	4146	4146	432	0	620	0	3689	0	0	799	646	4146	875	1286	0	0	100.0	100.0	53.1	0.0	71.0	0.0	87.6	0.0	0.0	50.6	36.2	98.8	50.3	54.1	0.0	0.0	100.0	100.0	10.4	0.0	15.0	0.0	89.0	0.0	0.0	19.3	15.6	100.0	21.1	31.0	0.0	0.0
HtGene1243	4818	37.5	4818	4818	2036	153	2156	176	4703	718	549	2784	1694	4818	3294	3388	192	116	100.0	100.0	65.5	49.8	70.5	16.3	91.6	50.9	39.3	80.2	52.3	99.2	73.1	77.3	87.3	69.5	100.0	100.0	42.3	3.2	44.7	3.7	97.6	14.9	11.4	57.8	35.2	100.0	68.4	70.3	4.0	2.4
HtGene1244	1194	31.5	1194	1194	349	192	410	389	1192	268	210	687	1056	1194	873	901	0	0	100.0	100.0	52.3	64.9	55.6	70.9	90.7	69.6	41.0	74.0	88.9	98.9	72.1	80.3	0.0	0	100.0	100.0	29.2	16.1	34.3	32.6	99.8	22.4	17.6	57.5	88.4	100.0	73.1	75.5	0.0	0.0
HtGene1245	840	34.3	840	840	711	219	604	224	840	572	726	832	259	840	832	832	0	0	100.0	100.0	82.9	87.7	72.0	90.6	94.6	71.1	77.2	88.2	43.2	99.8	87.0	87.9	0	0	100.0	100.0	84.6	26.1	71.9	26.7	100.0	68.1	86.4	99.0	30.8	100.0	99.0	99.0	0.0	0.0
HtGene1246	573	32.3	573	573	326	0	223	0	573	0	182	298	0	573	563	563	0	0	100.0	100.0	51.9	0	39.1	0	96.0	0	79.9	47.5	0.0	99.5	87.9	87.5	0	0.0	100.0	100.0	56.9	0.0	38.9	0.0	100.0	0.0	31.8	52.0	0.0	100.0	98.3	98.3	0.0	0.0
HtGene1255	2538	30.5	2538	2538	262	179	0	0	2530	546	137	455	1171	2538	2070	2216	0	0	100.0	100.0	20.9	51.1	0.0	0.0	91.7	70.2	48.3	22.1	88.6	99.2	81.9	83.3	0	0	100.0	100.0	10.3	7.1	0.0	0.0	99.7	21.5	5.4	17.9	46.1	100.0	81.6	87.3	0.0	0.0
HtGene1260	2490	34.2	2490	2484	1222	474	1216	588	2205	855	826	1385	422	2490	1312	1317	33	162	100.0	99.8	68.2	49.8	83.5	49.4	85.0	80.7	69.9	85.2	33.5	99.1	83.5	84.2	34.0	45.4	100.0	99.8	49.1	19.0	48.8	23.6	88.6	34.3	33.2	55.6	16.9	100.0	52.7	52.9	1.3	6.5
HtGene1265	1191	32.8	1180	1180	0	0	0	0	0	0	0	0	1054	1180	0	0	229	0	99.9	99.9	0	0	0.0	0	0.0	0	0	0	86.7	96.7	0	0	97.8	0	99.1	99.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	88.5	99.1	0.0	0.0	19.2	0.0
HtGene1266	6990	28.8	6990	6990	0	0	0	0	0	0	0	0	4845	6612	114	109	0	0	99.8	99.9	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	83.1	93.8	5.4	3.7	0.0	0.0	100.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	69.3	94.6	1.6	1.6	0.0	0.0
HtGene1267	3039	30.6	3039	3039	0	0	0	0	0	0	0	0	2477	3039	139	362	0	0	99.9	100.0	0.0	0.0	0	0.0	0.0	0.0	0	0.0	79.4	96.3	9.5	27.5	0.0	0.0	100.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	81.5	100.0	4.6	11.9	0.0	0.0
HtGene1275	459	30.9	459	457	137	0	292	0	459	338	0	403	0	459	417	404	0	0	100.0	99.6	73.2	0	74.2	0.0	93.2	72.8	0	85.1	0.0	99.6	86.3	83.5	0	0	100.0	99.6	29.8	0.0	63.6	0.0	100.0	73.6	0.0	87.8	0.0	100.0	90.8	88.0	0.0	0.0
HtGene1277	1173	32.2	1173	1173	492	0	518	193	1172	314	361	720	373	1173	727	786	0	0	100.0	100.0	66.5	0	66.9	45.7	89.6	82.9	52.5	80.4	56.1	99.3	78.5	78.9	0	0	100.0	100.0	41.9	0.0	44.2	16.5	99.9	26.8	30.8	61.4	31.8	100.0	62.0	67.0	0.0	0.0
HtGene1288	2136	30.1	2136	2136	0	0	395	0	1964	0	0	619	917	2136	742	851	0	0	100.0	100.0	0.0	0	57.2	0	90.6	0	0.0	41.2	73.0	98.6	47.5	57.0	0	0	100.0	100.0	0.0	0.0	18.5	0.0	91.9	0.0	0.0	29.0	42.9	100.0	34.7	39.8	0.0	0.0
